# Time	Temperature [K]	Pressure [Pa]
0.00067	800.002	5.06625e+06
0.00068	800.003	5.06625e+06
0.00069	800.003	5.06625e+06
0.0007	800.003	5.06625e+06
0.00071	800.003	5.06625e+06
0.00072	800.003	5.06625e+06
0.00073	800.004	5.06625e+06
0.00074	800.004	5.06625e+06
0.00075	800.004	5.06625e+06
0.00076	800.004	5.06625e+06
0.00077	800.004	5.06625e+06
0.00078	800.005	5.06625e+06
0.00079	800.005	5.06625e+06
0.0008	800.005	5.06625e+06
0.00081	800.006	5.06625e+06
0.00082	800.006	5.06625e+06
0.00083	800.006	5.06625e+06
0.00084	800.007	5.06625e+06
0.00085	800.007	5.06625e+06
0.00086	800.008	5.06625e+06
0.00087	800.008	5.06625e+06
0.00088	800.009	5.06625e+06
0.00089	800.009	5.06625e+06
0.0009	800.01	5.06625e+06
0.00091	800.01	5.06625e+06
0.00092	800.011	5.06625e+06
0.00093	800.012	5.06625e+06
0.00094	800.012	5.06625e+06
0.00095	800.013	5.06625e+06
0.00096	800.014	5.06625e+06
0.00097	800.015	5.06625e+06
0.00098	800.015	5.06625e+06
0.00099	800.016	5.06625e+06
0.001	800.017	5.06625e+06
0.00101	800.018	5.06625e+06
0.00102	800.019	5.06625e+06
0.00103	800.021	5.06625e+06
0.00104	800.022	5.06625e+06
0.00105	800.023	5.06625e+06
0.00106	800.025	5.06625e+06
0.00107	800.026	5.06625e+06
0.00108	800.028	5.06625e+06
0.00109	800.029	5.06625e+06
0.0011	800.031	5.06625e+06
0.00111	800.033	5.06625e+06
0.00112	800.035	5.06625e+06
0.00113	800.037	5.06625e+06
0.00114	800.039	5.06625e+06
0.00115	800.041	5.06625e+06
0.00116	800.044	5.06625e+06
0.00117	800.046	5.06625e+06
0.00118	800.049	5.06625e+06
0.00119	800.052	5.06625e+06
0.0012	800.055	5.06625e+06
0.00121	800.058	5.06625e+06
0.00122	800.062	5.06625e+06
0.00123	800.066	5.06625e+06
0.00124	800.069	5.06625e+06
0.00125	800.074	5.06625e+06
0.00126	800.078	5.06625e+06
0.00127	800.082	5.06625e+06
0.00128	800.087	5.06625e+06
0.00129	800.092	5.06625e+06
0.0013	800.098	5.06625e+06
0.00131	800.103	5.06625e+06
0.00132	800.109	5.06625e+06
0.00133	800.116	5.06625e+06
0.00134	800.123	5.06625e+06
0.00135	800.13	5.06625e+06
0.00136	800.137	5.06625e+06
0.00137	800.145	5.06625e+06
0.00138	800.154	5.06625e+06
0.00139	800.162	5.06625e+06
0.0014	800.172	5.06625e+06
0.00141	800.182	5.06625e+06
0.00142	800.192	5.06625e+06
0.00143	800.203	5.06625e+06
0.00144	800.214	5.06625e+06
0.00145	800.227	5.06625e+06
0.00146	800.239	5.06625e+06
0.00147	800.253	5.06625e+06
0.00148	800.267	5.06625e+06
0.00149	800.282	5.06625e+06
0.0015	800.298	5.06625e+06
0.00151	800.315	5.06625e+06
0.00152	800.332	5.06625e+06
0.00153	800.351	5.06625e+06
0.00154	800.37	5.06625e+06
0.00155	800.391	5.06625e+06
0.00156	800.412	5.06625e+06
0.00157	800.435	5.06625e+06
0.00158	800.459	5.06625e+06
0.00159	800.484	5.06625e+06
0.0016	800.51	5.06625e+06
0.00161	800.538	5.06625e+06
0.00162	800.567	5.06625e+06
0.00163	800.597	5.06625e+06
0.00164	800.63	5.06625e+06
0.00165	800.663	5.06625e+06
0.00166	800.699	5.06625e+06
0.00167	800.736	5.06625e+06
0.00168	800.775	5.06625e+06
0.00169	800.816	5.06625e+06
0.0017	800.86	5.06625e+06
0.00171	800.905	5.06625e+06
0.00172	800.952	5.06625e+06
0.00173	801.002	5.06625e+06
0.00174	801.055	5.06625e+06
0.00175	801.11	5.06625e+06
0.00176	801.167	5.06625e+06
0.00177	801.228	5.06625e+06
0.00178	801.291	5.06625e+06
0.00179	801.358	5.06625e+06
0.0018	801.427	5.06625e+06
0.00181	801.5	5.06625e+06
0.00182	801.577	5.06625e+06
0.00183	801.657	5.06625e+06
0.00184	801.741	5.06625e+06
0.00185	801.829	5.06625e+06
0.00186	801.921	5.06625e+06
0.00187	802.018	5.06625e+06
0.00188	802.119	5.06625e+06
0.00189	802.224	5.06625e+06
0.0019	802.335	5.06625e+06
0.00191	802.451	5.06625e+06
0.00192	802.572	5.06625e+06
0.00193	802.698	5.06625e+06
0.00194	802.83	5.06625e+06
0.00195	802.968	5.06625e+06
0.00196	803.113	5.06625e+06
0.00197	803.263	5.06625e+06
0.00198	803.42	5.06625e+06
0.00199	803.584	5.06625e+06
0.002	803.756	5.06625e+06
0.00201	803.934	5.06625e+06
0.00202	804.12	5.06625e+06
0.00203	804.313	5.06625e+06
0.00204	804.515	5.06625e+06
0.00205	804.725	5.06625e+06
0.00206	804.943	5.06625e+06
0.00207	805.17	5.06625e+06
0.00208	805.405	5.06625e+06
0.00209	805.65	5.06625e+06
0.0021	805.904	5.06625e+06
0.00211	806.167	5.06625e+06
0.00212	806.44	5.06625e+06
0.00213	806.723	5.06625e+06
0.00214	807.016	5.06625e+06
0.00215	807.319	5.06625e+06
0.00216	807.632	5.06625e+06
0.00217	807.955	5.06625e+06
0.00218	808.289	5.06625e+06
0.00219	808.633	5.06625e+06
0.0022	808.988	5.06625e+06
0.00221	809.353	5.06625e+06
0.00222	809.729	5.06625e+06
0.00223	810.115	5.06625e+06
0.00224	810.512	5.06625e+06
0.00225	810.92	5.06625e+06
0.00226	811.338	5.06625e+06
0.00227	811.766	5.06625e+06
0.00228	812.204	5.06625e+06
0.00229	812.652	5.06625e+06
0.0023	813.11	5.06625e+06
0.00231	813.578	5.06625e+06
0.00232	814.055	5.06625e+06
0.00233	814.542	5.06625e+06
0.00234	815.037	5.06625e+06
0.00235	815.542	5.06625e+06
0.00236	816.055	5.06625e+06
0.00237	816.576	5.06625e+06
0.00238	817.105	5.06625e+06
0.00239	817.641	5.06625e+06
0.0024	818.185	5.06625e+06
0.00241	818.736	5.06625e+06
0.00242	819.294	5.06625e+06
0.00243	819.858	5.06625e+06
0.00244	820.429	5.06625e+06
0.00245	821.005	5.06625e+06
0.00246	821.588	5.06625e+06
0.00247	822.175	5.06625e+06
0.00248	822.768	5.06625e+06
0.00249	823.365	5.06625e+06
0.0025	823.967	5.06625e+06
0.00251	824.573	5.06625e+06
0.00252	825.183	5.06625e+06
0.00253	825.798	5.06625e+06
0.00254	826.415	5.06625e+06
0.00255	827.037	5.06625e+06
0.00256	827.661	5.06625e+06
0.00257	828.288	5.06625e+06
0.00258	828.918	5.06625e+06
0.00259	829.55	5.06625e+06
0.0026	830.185	5.06625e+06
0.00261	830.822	5.06625e+06
0.00262	831.46	5.06625e+06
0.00263	832.1	5.06625e+06
0.00264	832.742	5.06625e+06
0.00265	833.385	5.06625e+06
0.00266	834.028	5.06625e+06
0.00267	834.673	5.06625e+06
0.00268	835.318	5.06625e+06
0.00269	835.963	5.06625e+06
0.0027	836.609	5.06625e+06
0.00271	837.254	5.06625e+06
0.00272	837.899	5.06625e+06
0.00273	838.543	5.06625e+06
0.00274	839.186	5.06625e+06
0.00275	839.828	5.06625e+06
0.00276	840.468	5.06625e+06
0.00277	841.107	5.06625e+06
0.00278	841.744	5.06625e+06
0.00279	842.378	5.06625e+06
0.0028	843.01	5.06625e+06
0.00281	843.639	5.06625e+06
0.00282	844.266	5.06625e+06
0.00283	844.889	5.06625e+06
0.00284	845.508	5.06625e+06
0.00285	846.123	5.06625e+06
0.00286	846.735	5.06625e+06
0.00287	847.342	5.06625e+06
0.00288	847.945	5.06625e+06
0.00289	848.543	5.06625e+06
0.0029	849.135	5.06625e+06
0.00291	849.723	5.06625e+06
0.00292	850.305	5.06625e+06
0.00293	850.882	5.06625e+06
0.00294	851.453	5.06625e+06
0.00295	852.017	5.06625e+06
0.00296	852.576	5.06625e+06
0.00297	853.128	5.06625e+06
0.00298	853.674	5.06625e+06
0.00299	854.213	5.06625e+06
0.003	854.745	5.06625e+06
0.00301	855.271	5.06625e+06
0.00302	855.79	5.06625e+06
0.00303	856.302	5.06625e+06
0.00304	856.806	5.06625e+06
0.00305	857.304	5.06625e+06
0.00306	857.794	5.06625e+06
0.00307	858.278	5.06625e+06
0.00308	858.754	5.06625e+06
0.00309	859.223	5.06625e+06
0.0031	859.685	5.06625e+06
0.00311	860.14	5.06625e+06
0.00312	860.588	5.06625e+06
0.00313	861.029	5.06625e+06
0.00314	861.463	5.06625e+06
0.00315	861.89	5.06625e+06
0.00316	862.31	5.06625e+06
0.00317	862.723	5.06625e+06
0.00318	863.13	5.06625e+06
0.00319	863.531	5.06625e+06
0.0032	863.925	5.06625e+06
0.00321	864.313	5.06625e+06
0.00322	864.695	5.06625e+06
0.00323	865.071	5.06625e+06
0.00324	865.441	5.06625e+06
0.00325	865.805	5.06625e+06
0.00326	866.164	5.06625e+06
0.00327	866.518	5.06625e+06
0.00328	866.866	5.06625e+06
0.00329	867.209	5.06625e+06
0.0033	867.547	5.06625e+06
0.00331	867.881	5.06625e+06
0.00332	868.21	5.06625e+06
0.00333	868.534	5.06625e+06
0.00334	868.854	5.06625e+06
0.00335	869.171	5.06625e+06
0.00336	869.483	5.06625e+06
0.00337	869.791	5.06625e+06
0.00338	870.096	5.06625e+06
0.00339	870.397	5.06625e+06
0.0034	870.694	5.06625e+06
0.00341	870.989	5.06625e+06
0.00342	871.28	5.06625e+06
0.00343	871.569	5.06625e+06
0.00344	871.855	5.06625e+06
0.00345	872.138	5.06625e+06
0.00346	872.419	5.06625e+06
0.00347	872.697	5.06625e+06
0.00348	872.973	5.06625e+06
0.00349	873.247	5.06625e+06
0.0035	873.52	5.06625e+06
0.00351	873.79	5.06625e+06
0.00352	874.058	5.06625e+06
0.00353	874.325	5.06625e+06
0.00354	874.591	5.06625e+06
0.00355	874.855	5.06625e+06
0.00356	875.118	5.06625e+06
0.00357	875.38	5.06625e+06
0.00358	875.64	5.06625e+06
0.00359	875.9	5.06625e+06
0.0036	876.159	5.06625e+06
0.00361	876.417	5.06625e+06
0.00362	876.674	5.06625e+06
0.00363	876.931	5.06625e+06
0.00364	877.188	5.06625e+06
0.00365	877.444	5.06625e+06
0.00366	877.7	5.06625e+06
0.00367	877.955	5.06625e+06
0.00368	878.21	5.06625e+06
0.00369	878.466	5.06625e+06
0.0037	878.721	5.06625e+06
0.00371	878.977	5.06625e+06
0.00372	879.232	5.06625e+06
0.00373	879.488	5.06625e+06
0.00374	879.744	5.06625e+06
0.00375	880.001	5.06625e+06
0.00376	880.258	5.06625e+06
0.00377	880.515	5.06625e+06
0.00378	880.773	5.06625e+06
0.00379	881.031	5.06625e+06
0.0038	881.291	5.06625e+06
0.00381	881.551	5.06625e+06
0.00382	881.811	5.06625e+06
0.00383	882.073	5.06625e+06
0.00384	882.336	5.06625e+06
0.00385	882.599	5.06625e+06
0.00386	882.863	5.06625e+06
0.00387	883.129	5.06625e+06
0.00388	883.396	5.06625e+06
0.00389	883.663	5.06625e+06
0.0039	883.932	5.06625e+06
0.00391	884.203	5.06625e+06
0.00392	884.474	5.06625e+06
0.00393	884.747	5.06625e+06
0.00394	885.021	5.06625e+06
0.00395	885.297	5.06625e+06
0.00396	885.574	5.06625e+06
0.00397	885.853	5.06625e+06
0.00398	886.133	5.06625e+06
0.00399	886.415	5.06625e+06
0.004	886.698	5.06625e+06
0.00401	886.984	5.06625e+06
0.00402	887.271	5.06625e+06
0.00403	887.559	5.06625e+06
0.00404	887.85	5.06625e+06
0.00405	888.143	5.06625e+06
0.00406	888.437	5.06625e+06
0.00407	888.733	5.06625e+06
0.00408	889.032	5.06625e+06
0.00409	889.332	5.06625e+06
0.0041	889.635	5.06625e+06
0.00411	889.939	5.06625e+06
0.00412	890.246	5.06625e+06
0.00413	890.555	5.06625e+06
0.00414	890.867	5.06625e+06
0.00415	891.181	5.06625e+06
0.00416	891.497	5.06625e+06
0.00417	891.815	5.06625e+06
0.00418	892.136	5.06625e+06
0.00419	892.46	5.06625e+06
0.0042	892.786	5.06625e+06
0.00421	893.115	5.06625e+06
0.00422	893.446	5.06625e+06
0.00423	893.78	5.06625e+06
0.00424	894.117	5.06625e+06
0.00425	894.457	5.06625e+06
0.00426	894.799	5.06625e+06
0.00427	895.145	5.06625e+06
0.00428	895.494	5.06625e+06
0.00429	895.845	5.06625e+06
0.0043	896.2	5.06625e+06
0.00431	896.558	5.06625e+06
0.00432	896.919	5.06625e+06
0.00433	897.284	5.06625e+06
0.00434	897.652	5.06625e+06
0.00435	898.023	5.06625e+06
0.00436	898.398	5.06625e+06
0.00437	898.776	5.06625e+06
0.00438	899.159	5.06625e+06
0.00439	899.544	5.06625e+06
0.0044	899.934	5.06625e+06
0.00441	900.328	5.06625e+06
0.00442	900.725	5.06625e+06
0.00443	901.127	5.06625e+06
0.00444	901.533	5.06625e+06
0.00445	901.943	5.06625e+06
0.00446	902.357	5.06625e+06
0.00447	902.776	5.06625e+06
0.00448	903.2	5.06625e+06
0.00449	903.628	5.06625e+06
0.0045	904.06	5.06625e+06
0.00451	904.498	5.06625e+06
0.00452	904.94	5.06625e+06
0.00453	905.388	5.06625e+06
0.00454	905.841	5.06625e+06
0.00455	906.299	5.06625e+06
0.00456	906.763	5.06625e+06
0.00457	907.232	5.06625e+06
0.00458	907.707	5.06625e+06
0.00459	908.187	5.06625e+06
0.0046	908.674	5.06625e+06
0.00461	909.167	5.06625e+06
0.00462	909.666	5.06625e+06
0.00463	910.172	5.06625e+06
0.00464	910.684	5.06625e+06
0.00465	911.203	5.06625e+06
0.00466	911.73	5.06625e+06
0.00467	912.263	5.06625e+06
0.00468	912.804	5.06625e+06
0.00469	913.352	5.06625e+06
0.0047	913.908	5.06625e+06
0.00471	914.473	5.06625e+06
0.00472	915.045	5.06625e+06
0.00473	915.626	5.06625e+06
0.00474	916.216	5.06625e+06
0.00475	916.815	5.06625e+06
0.00476	917.424	5.06625e+06
0.00477	918.042	5.06625e+06
0.00478	918.67	5.06625e+06
0.00479	919.308	5.06625e+06
0.0048	919.957	5.06625e+06
0.00481	920.616	5.06625e+06
0.00482	921.287	5.06625e+06
0.00483	921.97	5.06625e+06
0.00484	922.665	5.06625e+06
0.00485	923.373	5.06625e+06
0.00486	924.093	5.06625e+06
0.00487	924.827	5.06625e+06
0.00488	925.575	5.06625e+06
0.00489	926.338	5.06625e+06
0.0049	927.115	5.06625e+06
0.00491	927.909	5.06625e+06
0.00492	928.719	5.06625e+06
0.00493	929.545	5.06625e+06
0.00494	930.39	5.06625e+06
0.00495	931.253	5.06625e+06
0.00496	932.135	5.06625e+06
0.00497	933.037	5.06625e+06
0.00498	933.961	5.06625e+06
0.00499	934.907	5.06625e+06
0.005	935.875	5.06625e+06
0.00501	936.868	5.06625e+06
0.00502	937.887	5.06625e+06
0.00503	938.932	5.06625e+06
0.00504	940.006	5.06625e+06
0.00505	941.109	5.06625e+06
0.00506	942.243	5.06625e+06
0.00507	943.411	5.06625e+06
0.00508	944.614	5.06625e+06
0.00509	945.853	5.06625e+06
0.0051	947.133	5.06625e+06
0.00511	948.454	5.06625e+06
0.00512	949.82	5.06625e+06
0.00513	951.233	5.06625e+06
0.00514	952.698	5.06625e+06
0.00515	954.217	5.06625e+06
0.00516	955.795	5.06625e+06
0.00517	957.437	5.06625e+06
0.00518	959.146	5.06625e+06
0.00519	960.93	5.06625e+06
0.0052	962.795	5.06625e+06
0.00521	964.747	5.06625e+06
0.00522	966.795	5.06625e+06
0.00523	968.949	5.06625e+06
0.00524	971.219	5.06625e+06
0.00525	973.619	5.06625e+06
0.00526	976.162	5.06625e+06
0.00527	978.866	5.06625e+06
0.00528	981.753	5.06625e+06
0.00529	984.845	5.06625e+06
0.0053	988.175	5.06625e+06
0.00531	991.777	5.06625e+06
0.00532	995.698	5.06625e+06
0.00533	999.996	5.06625e+06
0.00534	1005.18	5.06625e+06
0.00535	1010.5	5.06625e+06
0.00536	1016.51	5.06625e+06
0.00537	1023.4	5.06625e+06
0.00538	1031.44	5.06625e+06
0.005385	1036	5.06625e+06
0.00539458	1046.12	5.06625e+06
0.00539937	1052.02	5.06625e+06
0.00540852	1065.54	5.06625e+06
0.0054131	1073.77	5.06625e+06
0.00541538	1078.37	5.06625e+06
0.00541984	1088.54	5.06625e+06
0.00542206	1094.34	5.06625e+06
0.00542639	1107.46	5.06625e+06
0.00542856	1115.15	5.06625e+06
0.00543276	1133.14	5.06625e+06
0.00543381	1138.4	5.06625e+06
0.00543588	1149.98	5.06625e+06
0.00543691	1156.44	5.06625e+06
0.00543895	1170.83	5.06625e+06
0.00543997	1178.94	5.06625e+06
0.00544197	1197.16	5.06625e+06
0.00544297	1207.47	5.06625e+06
0.00544347	1212.96	5.06625e+06
0.00544446	1224.54	5.06625e+06
0.00544496	1230.66	5.06625e+06
0.00544594	1243.48	5.06625e+06
0.00544643	1250.16	5.06625e+06
0.0054474	1263.95	5.06625e+06
0.00544789	1271.02	5.06625e+06
0.00544886	1285.3	5.06625e+06
0.00544934	1292.44	5.06625e+06
0.00545029	1306.53	5.06625e+06
0.00545077	1313.42	5.06625e+06
0.00545172	1326.76	5.06625e+06
0.00545219	1333.21	5.06625e+06
0.00545313	1345.63	5.06625e+06
0.0054536	1351.65	5.06625e+06
0.00545453	1363.32	5.06625e+06
0.00545635	1385.75	5.06625e+06
0.00545726	1396.95	5.06625e+06
0.00545904	1419.64	5.06625e+06
0.00545993	1431.46	5.06625e+06
0.00546167	1456.13	5.06625e+06
0.00546254	1469.28	5.06625e+06
0.00546424	1497.15	5.06625e+06
0.00546509	1512.3	5.06625e+06
0.00546676	1545.59	5.06625e+06
0.00546759	1564.55	5.06625e+06
0.00546921	1609.15	5.06625e+06
0.00547002	1637.12	5.06625e+06
0.0054716	1716.38	5.06625e+06
0.00547199	1746.08	5.06625e+06
0.00547277	1842.24	5.06625e+06
0.00547296	1883.49	5.06625e+06
0.00547335	2024.73	5.06625e+06
0.0054734	2046.68	5.06625e+06
0.00547349	2092.15	5.06625e+06
0.00547354	2114.49	5.06625e+06
0.00547364	2158.16	5.06625e+06
0.00547369	2178.98	5.06625e+06
0.00547378	2219.12	5.06625e+06
0.00547383	2238.12	5.06625e+06
0.00547393	2274.46	5.06625e+06
0.00547397	2291.54	5.06625e+06
0.00547407	2323.84	5.06625e+06
0.00547412	2338.86	5.06625e+06
0.00547421	2366.96	5.06625e+06
0.00547426	2379.92	5.06625e+06
0.00547436	2403.92	5.06625e+06
0.00547455	2444.73	5.06625e+06
0.00547464	2461.8	5.06625e+06
0.00547483	2490.8	5.06625e+06
0.00547493	2503.05	5.06625e+06
0.00547511	2524.01	5.06625e+06
0.00547549	2555.66	5.06625e+06
0.00547568	2567.64	5.06625e+06
0.00547605	2586.43	5.06625e+06
0.0054768	2611.36	5.06625e+06
0.00547718	2619.79	5.06625e+06
0.00547791	2631.71	5.06625e+06
0.00547939	2644.95	5.06625e+06
0.00548233	2654.55	5.06625e+06
0.00548822	2658.06	5.06625e+06
0.00549411	2658.57	5.06625e+06
0.0055	2658.82	5.06625e+06
0.00551	2659.11	5.06625e+06
0.00552	2659.33	5.06625e+06
0.00553	2659.48	5.06625e+06
0.00554	2659.6	5.06625e+06
0.00555	2659.69	5.06625e+06
0.00556	2659.75	5.06625e+06
0.00557	2659.8	5.06625e+06
0.00558	2659.84	5.06625e+06
0.00559	2659.87	5.06625e+06
0.0056	2659.89	5.06625e+06
0.00561	2659.91	5.06625e+06
0.00562	2659.92	5.06625e+06
0.00563	2659.93	5.06625e+06
0.00564	2659.94	5.06625e+06
0.00565	2659.95	5.06625e+06
0.00566	2659.95	5.06625e+06
0.00567	2659.96	5.06625e+06
0.00568	2659.96	5.06625e+06
0.00569	2659.97	5.06625e+06
0.0057	2659.97	5.06625e+06
0.00571	2659.97	5.06625e+06
0.00572	2659.97	5.06625e+06
0.00573	2659.97	5.06625e+06
0.00574	2659.98	5.06625e+06
0.00575	2659.98	5.06625e+06
0.00576	2659.98	5.06625e+06
0.00577	2659.98	5.06625e+06
0.00578	2659.98	5.06625e+06
0.00579	2659.98	5.06625e+06
0.0058	2659.98	5.06625e+06
0.00581	2659.98	5.06625e+06
0.00582	2659.98	5.06625e+06
0.00583	2659.98	5.06625e+06
0.00584	2659.98	5.06625e+06
0.00585	2659.98	5.06625e+06
0.00586	2659.98	5.06625e+06
0.00587	2659.98	5.06625e+06
0.00588	2659.98	5.06625e+06
0.00589	2659.99	5.06625e+06
0.0059	2659.99	5.06625e+06
0.00591	2659.99	5.06625e+06
0.00592	2659.99	5.06625e+06
0.00593	2659.99	5.06625e+06
0.00594	2659.99	5.06625e+06
0.00595	2659.99	5.06625e+06
0.00596	2659.99	5.06625e+06
0.00597	2659.99	5.06625e+06
0.00598	2659.99	5.06625e+06
0.00599	2659.99	5.06625e+06
0.006	2659.99	5.06625e+06
0.00601	2659.99	5.06625e+06
0.00602	2659.99	5.06625e+06
0.00603	2659.99	5.06625e+06
0.00604	2659.99	5.06625e+06
0.00605	2659.99	5.06625e+06
0.00606	2659.99	5.06625e+06
0.00607	2659.99	5.06625e+06
0.00608	2659.99	5.06625e+06
0.00609	2659.99	5.06625e+06
0.0061	2659.99	5.06625e+06
0.00611	2659.99	5.06625e+06
0.00612	2659.99	5.06625e+06
0.00613	2659.99	5.06625e+06
0.00614	2659.99	5.06625e+06
0.00615	2659.99	5.06625e+06
0.00616	2659.99	5.06625e+06
0.00617	2659.99	5.06625e+06
0.00618	2659.99	5.06625e+06
0.00619	2659.99	5.06625e+06
0.0062	2659.99	5.06625e+06
0.00621	2659.99	5.06625e+06
0.00622	2659.99	5.06625e+06
